DATES,OPEN,ADJ_CLOSE
2012-01-03,,
2012-01-04,,
2012-01-09,125,125
2012-01-10,123,125
2012-01-11,120,120
2012-01-12,,
2012-01-13,120,119
2012-01-14,,
2012-01-17,,
2012-01-18,,
2012-01-19,,
2012-01-20,,
2012-01-23,120,120
2012-01-24,,
2012-01-25,119,122
2012-01-26,122,122
2012-01-27,122,122
2012-01-30,122,130
2012-01-31,122,122
2012-02-02,127,122
2012-02-03,,
2012-02-06,,
2012-02-07,123,123
2012-02-08,122,125
2012-02-09,123,123
2012-02-10,123,123
2012-02-13,125,125
2012-02-14,122,122
2012-02-15,,
2012-02-16,122,122
2012-02-20,125,125
2012-02-21,122,125
2012-02-22,125,125
2012-02-23,122,125
2012-02-24,,
2012-02-27,125,122
2012-02-28,,
2012-02-29,125,125
2012-03-01,125,125
2012-03-05,,
2012-03-06,121,121
2012-03-07,121,121
2012-03-08,121,121
2012-03-09,125,125
2012-03-10,,
2012-03-13,120,120
2012-03-14,123,125
2012-03-15,119,120
2012-03-16,120,120
2012-03-20,119,119
2012-03-21,,
2012-03-22,119,119
2012-03-23,119,119
2012-03-26,118,118
2012-03-27,118,118
2012-03-29,118,118
2012-04-02,119,120
2012-04-03,120,125
2012-04-04,125,125
2012-04-05,125,125
2012-04-10,123,125
2012-04-12,125,123
2012-04-13,125,125
2012-04-16,125,125
2012-04-17,126,125
2012-04-18,125,125
2012-04-19,125,125
2012-04-20,125,125
2012-04-23,125,125
2012-04-24,,
2012-04-25,,
2012-04-26,125,125
2012-04-27,125,125
2012-04-30,,
2012-05-02,125,125
2012-05-03,125,125
2012-05-04,125,125
2012-05-07,125,125
2012-05-08,125,125
2012-05-09,125,125
2012-05-10,,
2012-05-11,125,125
2012-05-14,125,125
2012-05-15,123,123
2012-05-16,123,123
2012-05-17,123,123
2012-05-18,123,123
2012-05-21,123,123
2012-05-22,123,123
2012-05-23,123,123
2012-05-24,123,123
2012-05-25,122,125
2012-05-28,125,125
2012-05-29,125,125
2012-05-30,125,125
2012-05-31,125,125
2012-06-01,,
2012-06-04,,
2012-06-05,125,125
2012-06-06,125,125
2012-06-07,125,125
2012-06-08,125,125
2012-06-11,125,125
2012-06-12,125,125
2012-06-13,127,125
2012-06-14,125,125
2012-06-18,125,125
2012-06-19,123,125
2012-06-20,125,125
2012-06-21,,
2012-06-22,127,126
2012-06-25,126,126
2012-06-26,126,127
2012-06-27,127,127
2012-06-28,127,127
2012-06-29,126,126
2012-07-03,125,125
2012-07-05,127,127
2012-07-06,126,126
2012-07-09,,
2012-07-10,,
2012-07-11,125,125
2012-07-12,126,126
2012-07-13,126,126
2012-07-16,126,126
2012-07-17,126,126
2012-07-18,127,126
2012-07-19,127,127
2012-07-20,127,127
2012-07-23,127,127
2012-07-24,128,128
2012-07-25,130,130
2012-07-26,130,136
2012-07-27,126,135
2012-07-30,129,129
2012-07-31,129,128
2012-08-01,130,130
2012-08-02,130,130
2012-08-03,130,130
2012-08-06,130,130
2012-08-07,130,130
2012-08-08,130,130
2012-08-09,130,130
2012-08-10,130,129
2012-08-13,129,129
2012-08-14,129,130
2012-08-16,127,130
2012-08-17,130,130
2012-08-21,130,130
2012-08-22,130,130
2012-08-23,130,130
2012-08-24,130,130
2012-08-27,130,130
2012-08-28,130,130
2012-08-29,130,130
2012-08-30,130,130
2012-08-31,132,136
2012-09-02,123,123
2012-09-03,130,130
2012-09-04,131,131
2012-09-05,130,131
2012-09-06,130,130
2012-09-07,130,130
2012-09-10,130,130
2012-09-11,131,131
2012-09-12,129,130
2012-09-13,131,131
2012-09-14,130,131
2012-09-17,131,131
2012-09-18,130,130
2012-09-19,130,130
2012-09-20,130,130
2012-09-21,130,130
2012-09-24,131,130
2012-09-25,130,130
2012-09-26,130,130
2012-09-27,130,130
2012-09-28,130,130
2012-10-01,130,130
2012-10-02,130,130
2012-10-03,130,130
2012-10-04,130,130
2012-10-05,130,130
2012-10-08,,
2012-10-09,130,130
2012-10-10,130,130
2012-10-11,130,130
2012-10-12,130,130
2012-10-15,130,130
2012-10-16,130,131
2012-10-17,130,130
2012-10-18,130,130
2012-10-19,130,130
2012-10-22,130,130
2012-10-23,130,130
2012-10-24,,
2012-10-25,,
2012-10-26,130,132
2012-10-29,,
2012-10-30,,
2012-10-31,,
2012-11-01,,
2012-11-02,131,131
2012-11-05,,
2012-11-06,,
2012-11-07,129,130
2012-11-08,,
2012-11-09,129,129
2012-11-12,129,130
2012-11-13,129,130
2012-11-14,130,130
2012-11-15,130,130
